131,18934839116481,ใกล้ชิด ดีพ แอคชั่น เมนทอลเฟรช30กรัม/หีบ,0,0,7
132,18996001303716,ขนช็อกโก้มิ้ลค์แซนวิช/หีบ,0,0,7
133,21128714,สบู่เบนเนทส้ม/แพก,0,0,7
134,28850007070140,จอรสันต์กระปุกชมพู,0,350,99
135,28850022818566,น้ำเฉาก๊วยผสมน้ำผึ้ง ตราไอวี่/หีบ,0,0,7
136,28850035310133,ปลากระป๋องนกพิราบเหลืองฝาดึง/หีบ 10 แพ็ค,0,1200,-4
137,28850035310225,ปลากระป๋องนกพิราบเขียวฝาดึง/หีบ,1200,1210,-7
138,28850100000068,ไวไวควิกต้มยำกุ้ง/หีบ6 กล่อง,0,880,6
139,28850100001089,ไวไวควิกต้มโคล้ง/หีบ 6 กล่อง,0,880,6
140,28850100001225,ไวไวรสหมูสับต้มยำ/หีบ 6 กล่อง,0,880,6
141,28850100001461,ไวไวเส้นหมี่หมูสับ/หีบ 6กล่อง,0,880,7
142,28850100003410,ไวไวควิกกุ้งนึ่งมะนาว/หีบ 6 กล่อง,0,880,3
143,28850210000033,น้ำมันถั่วเหลือง ตราองุ่น/หีบ,0,0,7
144,28850250002226,รสดี รสหมู450กรัม/หีบ,0,0,7
145,28850344002193,ซอสหอยนางรม ตราสุรีย์/หีบ,0,0,7
146,28850382400006,SPY CLASSIC/ลัง,0,0,7
147,28850403204002,วุ้นเส้นสายฝน 22 กรัม  /หีบ 400 ถุง,0,0,7
148,28850403205009,วุ้นเส้นสายฝน500กรัม/ลัง,1050,1060,-16
149,28850635001325,น้ำนัมพืชโอลีน 2ลิตร/หีบ,0,0,5
150,28850800003410,คลิก รสกุ้งนึ่งมะนาว/หีบ,0,0,7
151,28850866271504,น้ำมันหอยมังกร/ลัง,400,0,98
152,28850987101278,มาม่าหมูสับ/หีบ6กล่อง,0,900,78
153,28850987101292,มาม่ากุ้ง/หีบ 6 กล่อง,0,900,86
154,28850987144396,มาม่าแกงเขียวหวานไก่/หีบ,0,900,99
155,28850987144398,มาม่าแกงเขียวหวาน/หีบ6กล่อง,0,900,97
156,28851494007563,น้ำมันปาล์ม ตราเกสร 250ซม./หีบ,0,0,-2
157,28851717040201,ดิชมิลส์ รสส้ม/หีบ,0,0,7
158,28851717040218,ดัชมิลส์ รสสตรอเบอร์รี่/หีบ,0,0,0
159,28851717040225,ดัชมิลล์คิดส์ ผลไม้รวม/หีบ,0,0,6
160,28854790000407,นิยมไทย 35 ดีกรีเล็ก/ลัง,0,930,5
161,28854794000489,สุรา 35ดีกรี เล็ก/ลัง,0,0,4
162,29556006012080,จอห์นสันเบบี้ 100มล.,0,78,99
163,29556006012097,อาบเด็กจอนสันต์ 200มล.,0,330,99
164,29556006060098,จอห์นสันเบบี้สีเหลือง50มล./แพ็ค,0,135,99
165,333001,ขนมกรุบกรอบขนาด 5.-/แพก12ซอง,48,50,-477
166,333002,ขนมกรุบกรอบขนาด 2.-/แพก 12ซอง,19,20,-182
167,333003,วุ้นแท่ง 1.-/แพก12ชิ้น,9,10,6
168,333004,ลูกออม/ห่อ100เม็ด,38,40,-77
169,333005,ลูกออม/ห่อ50เม็ด,19,20,-14
170,333006,ลูกออม/กระปุก200เม็ด,78,80,-79
171,333011111,โครงไก่,20,20,-2
172,3330114,นมเม็ด,19,20,1
173,33309001,สปายวาย/ลัง,0,0,7
174,333112,แฟบ900กรัม,410,410,3
175,333114,แฟบ3000กรัม,590,590,6
176,3331142,กระสอบ,5.3,5.5,-493
177,38850188800052,โอเมก้า รสจืด 180มล./หีบ36กล่อง,0,330,7
